Database,ForeignName,Type
"C:\MI20\SRV\DATA\MI20_data.accdb","bordereau",6
"C:\MI20\SRV\DATA\MI20_data.accdb","categorie",6
"C:\MI20\SRV\DATA\MI20_data.accdb","doc_histo",6
"C:\MI20\SRV\DATA\MI20_data.accdb","document",6
"C:\MI20\SRV\DATA\MI20_data.accdb","domaine",6
"C:\MI20\SRV\DATA\MI20_data.accdb","dossier",6
"C:\MI20\SRV\DATA\MI20_data.accdb","envoi",6
"C:\MI20\SRV\DATA\MI20_data.accdb","extensions",6
"C:\MI20\SRV\DATA\MI20_data.accdb","ficheAvis",6
"C:\MI20\SRV\DATA\MI20_data.accdb","fournisseur",6
"C:\MI20\client\IHM\MI20_temp_import.accdb","import_bilan_envois",6
"C:\MI20\client\IHM\MI20_temp_import.accdb","import_columns",6
"C:\MI20\client\IHM\MI20_temp_import.accdb","import_columns_bilan_envois",6
"C:\MI20\client\IHM\MI20_temp_import.accdb","import_columns_revisions",6
"C:\MI20\client\IHM\MI20_temp_import.accdb","import_compare",6
"C:\MI20\client\IHM\MI20_temp_import.accdb","import_programmation_jalon",6
"C:\MI20\client\IHM\MI20_temp_import.accdb","import_raw",6
"C:\MI20\client\IHM\MI20_temp_import.accdb","import_revisions",6
"C:\MI20\SRV\DATA\MI20_data.accdb","jalon",6
"C:\MI20\SRV\DATA\MI20_data.accdb","leader",6
"C:\MI20\SRV\DATA\MI20_data.accdb","logiciel_cao",6
"C:\MI20\SRV\DATA\MI20_data.accdb","modele_cao",6
"C:\MI20\SRV\DATA\MI20_data.accdb","origine",6
"C:\MI20\SRV\DATA\MI20_data.accdb","programmation_jalon",6
"C:\MI20\SRV\DATA\MI20_data.accdb","revision",6
"C:\MI20\SRV\DATA\MI20_data.accdb","type_document",6
"C:\MI20\SRV\DATA\MI20_data.accdb","version",6
