Id,col_table_document,titre_template_PPD,nature,table_associee,AImporter,table_dest
1,"GroupeLigne","Num Liv.","LIGNE",,1,"document"
2,"Livrable","Livrable de l'annexe 1 de la SM","T",,1,"document"
3,"RefExt","Référence externe (Titulaire)","T",,1,"document"
4,"Revision","Indice de révision","T",,1,"document"
5,"Titre","Titre du document","TITRE",,1,"document"
6,"DelivrableProjet","Délivrable Projet (O/N)","OUINON",,1,"document"
7,"LignePPDCouverteParAutreNumero","Ligne PPD couverte par un autre ""N° de ligne","T",,1,"document"
8,"RefDocumentSource","Référence du document source","T",,1,"document"
9,"Nom","Nom du document source","T",,1,"document"
10,"Sections","§ du document source","T",,1,"document"
11,"IdLeader","Leader technique (Titulaire)","LDD","Leader",1,"document"
12,"IdPIC","P I C (Code Arbo produit)","LDD","PIC",1,"document"
13,"IdPICSupport","Support (lié au PIC)","LDD","PIC",1,"document"
14,"IdProduit","Produit","LDD","Produit",1,"document"
15,"IdResponsable","RESPONSABLE TITULAIRE","LDD","Responsable",1,"document"
17,"IdFournisseur","Fournisseur","LDD","fournisseur",1,"document"
18,"RefPDMdocFNR","Référence fournisseur","T",,1,"document"
20,"IdMetier","Métier Groupement","LDDDomaineChargeur","metier",1,"document"
21,"IdPreuveAutorisation","Preuve Autorisation","LDD","PreuveAutorisation",1,"document"
25,"estConfidentiel","Doc confidentiel (O/N) (Colonne H du chargeur)","OUINON",,1,"document"
40,"IdNiveauConfidentialite","Niveau de confidentialité (AT/CAF/Fournisseur)","LDD","NiveauConfidentialite",1,"document"
45,"IdNiveauCommunication","Niveau de Communication","LDD","NiveauCommunication",1,"document"
50,"Poste","Type Document","T",,1,"document"
70,"IdDomaineBord","Domaine RATP","LDDDomaineChargeur","domaine",1,"document"
72,"IdDomaineChargeur","Domaine chargeur","LDDDomaineChargeur","domaineChargeur",1,"document"
80,"IdCategorie","Catégorie du document","LDD","categorie",1,"document"
82,"IdCategorieAT","Catégorie doc RATP","LDD","categorieAT",1,"document"
83,"IdPerimetre","Périmètre RATP","LDDDomaineChargeur","Perimetre",1,"document"
84,"IdTypeDossier","Dossier","LDD","dossier",1,"document"
86,"IdPourInfo_Acceptation","Pour acceptation/pour information","LDD","PourInfo_Acceptation",1,"document"
88,"EstSecuritaire","Doc sécuritaire","OUINON",,1,"document"
90,"IdModeleCAO","Modèle CAO","LDD","modele_cao",1,"document"
92,"IdLogicielCAO","Logiciel CAO","LDD","logiciel_cao",1,"document"
98,"DateResoumission","Date de la prochaine soumission","T",,1,"document"
100,"Tranche","Tranches concernées","T",,0,"document"
101,"SiteEmetteur","Site Emetteur","T",,0,"document"
102,"Service","Service","T",,0,"document"
103,"FournitureNatif","Fourniture Natif","T",,0,"document"
104,"RelecturePartenaire","RTS Doc","T",,0,"document"
105,"NumBordereau","Bordereau","T",,0,"document"
106,"Statut_RATP","Statut RATP","T",,0,"document"
109,"N_MF19","N° MF19","T",,0,"document"
111,"QteEstimeeDocs","Quantité estimée de documents","T",,0,"document"
112,"EffMateriel","effectivité dernier envoi","T",,0,"document"
113,"CommentaireBT","Commentaires","T",,1,"document"
130,"Jalon","Jalon","J",,1,"jalon"
140,"Homologuant","Homologuant","AUTORISANT",,1,"document"
150,"IdTypeCode","Type Code DOORS","LDD","TypeCode",1,"document"
160,"RefExtParent","Filiation","T",,1,"document"
170,"Langue","Langue","T",,1,"document"
180,"Projet","Projet","T",,1,"document"
190,"Metier","Métier","T",,1,"document"
200,"IdTypeEnvoi","Envoi par Bordereau (O/N)","LDD","Type_Envoi",1,"document"
